Entity,Code,Date,stringency_index
Democratic Republic of Congo,COD,2020-10-27,22.22
Democratic Republic of Congo,COD,2020-10-28,22.22
Democratic Republic of Congo,COD,2020-10-29,22.22
Democratic Republic of Congo,COD,2020-10-30,22.22
Democratic Republic of Congo,COD,2020-10-31,22.22
Democratic Republic of Congo,COD,2020-11-01,22.22
Democratic Republic of Congo,COD,2020-11-02,22.22
Democratic Republic of Congo,COD,2020-11-03,22.22
Democratic Republic of Congo,COD,2020-11-04,22.22
Democratic Republic of Congo,COD,2020-11-05,22.22
Democratic Republic of Congo,COD,2020-11-06,22.22
Democratic Republic of Congo,COD,2020-11-07,22.22
Democratic Republic of Congo,COD,2020-11-08,22.22
Democratic Republic of Congo,COD,2020-11-09,22.22
Democratic Republic of Congo,COD,2020-11-10,22.22
Democratic Republic of Congo,COD,2020-11-11,22.22
Democratic Republic of Congo,COD,2020-11-12,22.22
Democratic Republic of Congo,COD,2020-11-13,22.22
Democratic Republic of Congo,COD,2020-11-14,22.22
Democratic Republic of Congo,COD,2020-11-15,22.22
Democratic Republic of Congo,COD,2020-11-16,22.22
Democratic Republic of Congo,COD,2020-11-17,22.22
Democratic Republic of Congo,COD,2020-11-18,22.22
Democratic Republic of Congo,COD,2020-11-19,22.22
Democratic Republic of Congo,COD,2020-11-20,22.22
Democratic Republic of Congo,COD,2020-11-21,22.22
Democratic Republic of Congo,COD,2020-11-22,22.22
Democratic Republic of Congo,COD,2020-11-23,22.22
Democratic Republic of Congo,COD,2020-11-24,22.22
Democratic Republic of Congo,COD,2020-11-25,22.22
Democratic Republic of Congo,COD,2020-11-26,22.22
Democratic Republic of Congo,COD,2020-11-27,22.22
Democratic Republic of Congo,COD,2020-11-28,22.22
Democratic Republic of Congo,COD,2020-11-29,22.22
Democratic Republic of Congo,COD,2020-11-30,22.22
Democratic Republic of Congo,COD,2020-12-01,22.22
Democratic Republic of Congo,COD,2020-12-02,22.22
Democratic Republic of Congo,COD,2020-12-03,22.22
Democratic Republic of Congo,COD,2020-12-04,22.22
Democratic Republic of Congo,COD,2020-12-05,22.22
Democratic Republic of Congo,COD,2020-12-06,22.22
Democratic Republic of Congo,COD,2020-12-07,22.22
Democratic Republic of Congo,COD,2020-12-08,22.22
Democratic Republic of Congo,COD,2020-12-09,19.44
Democratic Republic of Congo,COD,2020-12-10,19.44
Democratic Republic of Congo,COD,2020-12-11,19.44
Democratic Republic of Congo,COD,2020-12-12,19.44
Democratic Republic of Congo,COD,2020-12-13,19.44
Democratic Republic of Congo,COD,2020-12-14,19.44
Democratic Republic of Congo,COD,2020-12-15,19.44
Democratic Republic of Congo,COD,2020-12-16,19.44
Democratic Republic of Congo,COD,2020-12-17,19.44
Democratic Republic of Congo,COD,2020-12-18,26.85
Democratic Republic of Congo,COD,2020-12-19,26.85
Democratic Republic of Congo,COD,2020-12-20,26.85
Democratic Republic of Congo,COD,2020-12-21,26.85
Democratic Republic of Congo,COD,2020-12-22,26.85
Democratic Republic of Congo,COD,2020-12-23,26.85
Democratic Republic of Congo,COD,2020-12-24,26.85
Democratic Republic of Congo,COD,2020-12-25,26.85
Democratic Republic of Congo,COD,2020-12-26,26.85
Democratic Republic of Congo,COD,2020-12-27,26.85
Democratic Republic of Congo,COD,2020-12-28,26.85
Democratic Republic of Congo,COD,2020-12-29,26.85
Democratic Republic of Congo,COD,2020-12-30,26.85
Democratic Republic of Congo,COD,2020-12-31,26.85
Democratic Republic of Congo,COD,2021-01-01,26.85
Democratic Republic of Congo,COD,2021-01-02,26.85
Democratic Republic of Congo,COD,2021-01-03,26.85
Democratic Republic of Congo,COD,2021-01-04,26.85
Democratic Republic of Congo,COD,2021-01-05,25
Democratic Republic of Congo,COD,2021-01-06,25
Democratic Republic of Congo,COD,2021-01-07,25
Democratic Republic of Congo,COD,2021-01-08,25
Democratic Republic of Congo,COD,2021-01-09,25
Democratic Republic of Congo,COD,2021-01-10,25
Democratic Republic of Congo,COD,2021-01-11,25
Democratic Republic of Congo,COD,2021-01-12,25
Democratic Republic of Congo,COD,2021-01-13,25
Democratic Republic of Congo,COD,2021-01-14,25
Democratic Republic of Congo,COD,2021-01-15,25
Democratic Republic of Congo,COD,2021-01-16,25
Democratic Republic of Congo,COD,2021-01-17,25
Democratic Republic of Congo,COD,2021-01-18,25
Democratic Republic of Congo,COD,2021-01-19,25
Democratic Republic of Congo,COD,2021-01-20,36.11
Democratic Republic of Congo,COD,2021-01-21,36.11
Democratic Republic of Congo,COD,2021-01-22,36.11
Democratic Republic of Congo,COD,2021-01-23,36.11
Democratic Republic of Congo,COD,2021-01-24,36.11
Democratic Republic of Congo,COD,2021-01-25,36.11
Democratic Republic of Congo,COD,2021-01-26,36.11
Democratic Republic of Congo,COD,2021-01-27,36.11
Democratic Republic of Congo,COD,2021-01-28,36.11
Democratic Republic of Congo,COD,2021-01-29,36.11
Democratic Republic of Congo,COD,2021-01-30,36.11
Democratic Republic of Congo,COD,2021-01-31,36.11
Democratic Republic of Congo,COD,2021-02-01,36.11
Democratic Republic of Congo,COD,2021-02-02,52.78
Democratic Republic of Congo,COD,2021-02-03,52.78
Democratic Republic of Congo,COD,2021-02-04,52.78
Democratic Republic of Congo,COD,2021-02-05,52.78
Democratic Republic of Congo,COD,2021-02-06,52.78
Democratic Republic of Congo,COD,2021-02-07,52.78
Democratic Republic of Congo,COD,2021-02-08,52.78
Democratic Republic of Congo,COD,2021-02-09,52.78
Democratic Republic of Congo,COD,2021-02-10,52.78
Democratic Republic of Congo,COD,2021-02-11,52.78
Democratic Republic of Congo,COD,2021-02-12,52.78
Democratic Republic of Congo,COD,2021-02-13,52.78
Democratic Republic of Congo,COD,2021-02-14,52.78
Democratic Republic of Congo,COD,2021-02-15,52.78
Democratic Republic of Congo,COD,2021-02-16,32.41
Democratic Republic of Congo,COD,2021-02-17,32.41
Democratic Republic of Congo,COD,2021-02-18,32.41
Democratic Republic of Congo,COD,2021-02-19,32.41
Democratic Republic of Congo,COD,2021-02-20,32.41
Democratic Republic of Congo,COD,2021-02-21,32.41
Democratic Republic of Congo,COD,2021-02-22,32.41
Democratic Republic of Congo,COD,2021-02-23,32.41
Democratic Republic of Congo,COD,2021-02-24,32.41
Democratic Republic of Congo,COD,2021-02-25,32.41
Democratic Republic of Congo,COD,2021-02-26,32.41
Democratic Republic of Congo,COD,2021-02-27,32.41
Democratic Republic of Congo,COD,2021-02-28,32.41
Democratic Republic of Congo,COD,2021-03-01,32.41
Denmark,DNK,2020-01-01,0
Denmark,DNK,2020-01-02,0
Denmark,DNK,2020-01-03,0
Denmark,DNK,2020-01-04,0
Denmark,DNK,2020-01-05,0
Denmark,DNK,2020-01-06,0
Denmark,DNK,2020-01-07,0
Denmark,DNK,2020-01-08,0
Denmark,DNK,2020-01-09,0
Denmark,DNK,2020-01-10,0
Denmark,DNK,2020-01-11,0
Denmark,DNK,2020-01-12,0
Denmark,DNK,2020-01-13,0
Denmark,DNK,2020-01-14,0
Denmark,DNK,2020-01-15,0
Denmark,DNK,2020-01-16,0
Denmark,DNK,2020-01-17,0
Denmark,DNK,2020-01-18,0
Denmark,DNK,2020-01-19,0
Denmark,DNK,2020-01-20,0
Denmark,DNK,2020-01-21,0
Denmark,DNK,2020-01-22,0
Denmark,DNK,2020-01-23,0
Denmark,DNK,2020-01-24,0
Denmark,DNK,2020-01-25,0
Denmark,DNK,2020-01-26,0
Denmark,DNK,2020-01-27,0
Denmark,DNK,2020-01-28,0
Denmark,DNK,2020-01-29,0
Denmark,DNK,2020-01-30,0
Denmark,DNK,2020-01-31,0
Denmark,DNK,2020-02-01,0
Denmark,DNK,2020-02-02,0
Denmark,DNK,2020-02-03,0
Denmark,DNK,2020-02-04,0
Denmark,DNK,2020-02-05,0
Denmark,DNK,2020-02-06,0
Denmark,DNK,2020-02-07,0
Denmark,DNK,2020-02-08,0
Denmark,DNK,2020-02-09,0
Denmark,DNK,2020-02-10,0
Denmark,DNK,2020-02-11,0
Denmark,DNK,2020-02-12,0
Denmark,DNK,2020-02-13,0
Denmark,DNK,2020-02-14,0
Denmark,DNK,2020-02-15,0
Denmark,DNK,2020-02-16,0
Denmark,DNK,2020-02-17,0
Denmark,DNK,2020-02-18,0
Denmark,DNK,2020-02-19,0
Denmark,DNK,2020-02-20,0
Denmark,DNK,2020-02-21,0
Denmark,DNK,2020-02-22,0
Denmark,DNK,2020-02-23,0
Denmark,DNK,2020-02-24,0
Denmark,DNK,2020-02-25,0
Denmark,DNK,2020-02-26,0
Denmark,DNK,2020-02-27,11.11
Denmark,DNK,2020-02-28,11.11
Denmark,DNK,2020-02-29,11.11
Denmark,DNK,2020-03-01,11.11
Denmark,DNK,2020-03-02,11.11
Denmark,DNK,2020-03-03,20.37
Denmark,DNK,2020-03-04,20.37
Denmark,DNK,2020-03-05,20.37
Denmark,DNK,2020-03-06,25.93
Denmark,DNK,2020-03-07,25.93
Denmark,DNK,2020-03-08,25.93
Denmark,DNK,2020-03-09,25.93
Denmark,DNK,2020-03-10,31.48
Denmark,DNK,2020-03-11,37.96
Denmark,DNK,2020-03-12,37.96
Denmark,DNK,2020-03-13,62.96
Denmark,DNK,2020-03-14,65.74
Denmark,DNK,2020-03-15,65.74
Denmark,DNK,2020-03-16,65.74
Denmark,DNK,2020-03-17,65.74
Denmark,DNK,2020-03-18,72.22
Denmark,DNK,2020-03-19,72.22
Denmark,DNK,2020-03-20,72.22
Denmark,DNK,2020-03-21,72.22
Denmark,DNK,2020-03-22,72.22
Denmark,DNK,2020-03-23,72.22
Denmark,DNK,2020-03-24,72.22
Denmark,DNK,2020-03-25,72.22
Denmark,DNK,2020-03-26,72.22
Denmark,DNK,2020-03-27,72.22
Denmark,DNK,2020-03-28,72.22
Denmark,DNK,2020-03-29,72.22
Denmark,DNK,2020-03-30,72.22
Denmark,DNK,2020-03-31,72.22
Denmark,DNK,2020-04-01,72.22
Denmark,DNK,2020-04-02,72.22
Denmark,DNK,2020-04-03,72.22
Denmark,DNK,2020-04-04,72.22
Denmark,DNK,2020-04-05,72.22
Denmark,DNK,2020-04-06,72.22
Denmark,DNK,2020-04-07,72.22
Denmark,DNK,2020-04-08,72.22
Denmark,DNK,2020-04-09,72.22
Denmark,DNK,2020-04-10,72.22
Denmark,DNK,2020-04-11,72.22
Denmark,DNK,2020-04-12,72.22
Denmark,DNK,2020-04-13,72.22
Denmark,DNK,2020-04-14,72.22
Denmark,DNK,2020-04-15,68.52
Denmark,DNK,2020-04-16,68.52
Denmark,DNK,2020-04-17,68.52
Denmark,DNK,2020-04-18,68.52
Denmark,DNK,2020-04-19,68.52
Denmark,DNK,2020-04-20,68.52
Denmark,DNK,2020-04-21,68.52
Denmark,DNK,2020-04-22,68.52
Denmark,DNK,2020-04-23,68.52
Denmark,DNK,2020-04-24,68.52
Denmark,DNK,2020-04-25,68.52
Denmark,DNK,2020-04-26,68.52
Denmark,DNK,2020-04-27,68.52
Denmark,DNK,2020-04-28,68.52
Denmark,DNK,2020-04-29,68.52
Denmark,DNK,2020-04-30,68.52
Denmark,DNK,2020-05-01,68.52
Denmark,DNK,2020-05-02,68.52
Denmark,DNK,2020-05-03,68.52
Denmark,DNK,2020-05-04,68.52
Denmark,DNK,2020-05-05,68.52
Denmark,DNK,2020-05-06,68.52
Denmark,DNK,2020-05-07,68.52
Denmark,DNK,2020-05-08,65.74
Denmark,DNK,2020-05-09,65.74
Denmark,DNK,2020-05-10,65.74
Denmark,DNK,2020-05-11,65.74
Denmark,DNK,2020-05-12,65.74
Denmark,DNK,2020-05-13,65.74
Denmark,DNK,2020-05-14,65.74
Denmark,DNK,2020-05-15,65.74
Denmark,DNK,2020-05-16,65.74
Denmark,DNK,2020-05-17,65.74
Denmark,DNK,2020-05-18,65.74
Denmark,DNK,2020-05-19,65.74
Denmark,DNK,2020-05-20,65.74
Denmark,DNK,2020-05-21,65.74
Denmark,DNK,2020-05-22,60.19
Denmark,DNK,2020-05-23,60.19
Denmark,DNK,2020-05-24,60.19
Denmark,DNK,2020-05-25,57.41
Denmark,DNK,2020-05-26,57.41
Denmark,DNK,2020-05-27,57.41
Denmark,DNK,2020-05-28,57.41
Denmark,DNK,2020-05-29,57.41
Denmark,DNK,2020-05-30,57.41
Denmark,DNK,2020-05-31,57.41
Denmark,DNK,2020-06-01,57.41
Denmark,DNK,2020-06-02,57.41
Denmark,DNK,2020-06-03,57.41
Denmark,DNK,2020-06-04,57.41
Denmark,DNK,2020-06-05,57.41
Denmark,DNK,2020-06-06,57.41
Denmark,DNK,2020-06-07,57.41
Denmark,DNK,2020-06-08,57.41
Denmark,DNK,2020-06-09,57.41
Denmark,DNK,2020-06-10,57.41
Denmark,DNK,2020-06-11,57.41
Denmark,DNK,2020-06-12,57.41
Denmark,DNK,2020-06-13,57.41
Denmark,DNK,2020-06-14,57.41
Denmark,DNK,2020-06-15,57.41
Denmark,DNK,2020-06-16,57.41
Denmark,DNK,2020-06-17,57.41
Denmark,DNK,2020-06-18,57.41
Denmark,DNK,2020-06-19,57.41
Denmark,DNK,2020-06-20,57.41
Denmark,DNK,2020-06-21,57.41
Denmark,DNK,2020-06-22,57.41
Denmark,DNK,2020-06-23,57.41
Denmark,DNK,2020-06-24,57.41
Denmark,DNK,2020-06-25,57.41
Denmark,DNK,2020-06-26,57.41
Denmark,DNK,2020-06-27,57.41
Denmark,DNK,2020-06-28,57.41
Denmark,DNK,2020-06-29,57.41
Denmark,DNK,2020-06-30,57.41
Denmark,DNK,2020-07-01,57.41
Denmark,DNK,2020-07-02,57.41
Denmark,DNK,2020-07-03,57.41
Denmark,DNK,2020-07-04,57.41
Denmark,DNK,2020-07-05,57.41
Denmark,DNK,2020-07-06,57.41
Denmark,DNK,2020-07-07,57.41
Denmark,DNK,2020-07-08,54.63
Denmark,DNK,2020-07-09,54.63
Denmark,DNK,2020-07-10,54.63
Denmark,DNK,2020-07-11,54.63
Denmark,DNK,2020-07-12,54.63
Denmark,DNK,2020-07-13,54.63
Denmark,DNK,2020-07-14,54.63
Denmark,DNK,2020-07-15,54.63
Denmark,DNK,2020-07-16,54.63
Denmark,DNK,2020-07-17,54.63
Denmark,DNK,2020-07-18,54.63
Denmark,DNK,2020-07-19,54.63
Denmark,DNK,2020-07-20,54.63
Denmark,DNK,2020-07-21,54.63
Denmark,DNK,2020-07-22,54.63
Denmark,DNK,2020-07-23,54.63
Denmark,DNK,2020-07-24,54.63
Denmark,DNK,2020-07-25,54.63
Denmark,DNK,2020-07-26,54.63
Denmark,DNK,2020-07-27,54.63
Denmark,DNK,2020-07-28,54.63
Denmark,DNK,2020-07-29,54.63
Denmark,DNK,2020-07-30,54.63
Denmark,DNK,2020-07-31,54.63
Denmark,DNK,2020-08-01,50.93
Denmark,DNK,2020-08-02,50.93
Denmark,DNK,2020-08-03,50.93
Denmark,DNK,2020-08-04,50.93
Denmark,DNK,2020-08-05,50.93
Denmark,DNK,2020-08-06,50.93
Denmark,DNK,2020-08-07,50.93
Denmark,DNK,2020-08-08,50.93
Denmark,DNK,2020-08-09,50.93
Denmark,DNK,2020-08-10,50.93
Denmark,DNK,2020-08-11,50.93
Denmark,DNK,2020-08-12,50.93
Denmark,DNK,2020-08-13,50.93
Denmark,DNK,2020-08-14,50.93
Denmark,DNK,2020-08-15,50.93
Denmark,DNK,2020-08-16,50.93
Denmark,DNK,2020-08-17,50.93
Denmark,DNK,2020-08-18,50.93
Denmark,DNK,2020-08-19,50.93
Denmark,DNK,2020-08-20,50.93
Denmark,DNK,2020-08-21,50.93
Denmark,DNK,2020-08-22,50.93
Denmark,DNK,2020-08-23,50.93
Denmark,DNK,2020-08-24,50.93
Denmark,DNK,2020-08-25,50.93
Denmark,DNK,2020-08-26,50.93
Denmark,DNK,2020-08-27,50.93
Denmark,DNK,2020-08-28,50.93
Denmark,DNK,2020-08-29,50.93
Denmark,DNK,2020-08-30,50.93
Denmark,DNK,2020-08-31,50.93
Denmark,DNK,2020-09-01,50.93
Denmark,DNK,2020-09-02,50.93
Denmark,DNK,2020-09-03,50.93
Denmark,DNK,2020-09-04,50.93
Denmark,DNK,2020-09-05,50.93
Denmark,DNK,2020-09-06,50.93
Denmark,DNK,2020-09-07,50.93
Denmark,DNK,2020-09-08,50.93
Denmark,DNK,2020-09-09,47.69
Denmark,DNK,2020-09-10,47.69
Denmark,DNK,2020-09-11,47.69
Denmark,DNK,2020-09-12,47.69
Denmark,DNK,2020-09-13,47.69
Denmark,DNK,2020-09-14,47.69
Denmark,DNK,2020-09-15,47.69
Denmark,DNK,2020-09-16,47.69
Denmark,DNK,2020-09-17,47.69
Denmark,DNK,2020-09-18,47.69
Denmark,DNK,2020-09-19,50.93
Denmark,DNK,2020-09-20,50.93
Denmark,DNK,2020-09-21,50.93
Denmark,DNK,2020-09-22,50.93
Denmark,DNK,2020-09-23,50.93
Denmark,DNK,2020-09-24,50.93
Denmark,DNK,2020-09-25,50.93
Denmark,DNK,2020-09-26,50.93
Denmark,DNK,2020-09-27,50.93
Denmark,DNK,2020-09-28,50.93
Denmark,DNK,2020-09-29,50.93
Denmark,DNK,2020-09-30,50.93
Denmark,DNK,2020-10-01,50.93
Denmark,DNK,2020-10-02,50.93
Denmark,DNK,2020-10-03,50.93
Denmark,DNK,2020-10-04,50.93
Denmark,DNK,2020-10-05,50.93
Denmark,DNK,2020-10-06,50.93
Denmark,DNK,2020-10-07,50.93
Denmark,DNK,2020-10-08,50.93
Denmark,DNK,2020-10-09,50.93
Denmark,DNK,2020-10-10,41.67
Denmark,DNK,2020-10-11,41.67
Denmark,DNK,2020-10-12,41.67
Denmark,DNK,2020-10-13,41.67
Denmark,DNK,2020-10-14,41.67
Denmark,DNK,2020-10-15,41.67
Denmark,DNK,2020-10-16,41.67
Denmark,DNK,2020-10-17,41.67
Denmark,DNK,2020-10-18,41.67
Denmark,DNK,2020-10-19,41.67
Denmark,DNK,2020-10-20,41.67
Denmark,DNK,2020-10-21,37.04
Denmark,DNK,2020-10-22,37.04
Denmark,DNK,2020-10-23,37.04
Denmark,DNK,2020-10-24,37.04
Denmark,DNK,2020-10-25,37.04
Denmark,DNK,2020-10-26,39.81
Denmark,DNK,2020-10-27,39.81
Denmark,DNK,2020-10-28,39.81
Denmark,DNK,2020-10-29,39.81
Denmark,DNK,2020-10-30,39.81
Denmark,DNK,2020-10-31,39.81
Denmark,DNK,2020-11-01,39.81
Denmark,DNK,2020-11-02,39.81
Denmark,DNK,2020-11-03,39.81
Denmark,DNK,2020-11-04,39.81
Denmark,DNK,2020-11-05,39.81
Denmark,DNK,2020-11-06,39.81
Denmark,DNK,2020-11-07,39.81
Denmark,DNK,2020-11-08,39.81
Denmark,DNK,2020-11-09,54.63
Denmark,DNK,2020-11-10,54.63
Denmark,DNK,2020-11-11,54.63
Denmark,DNK,2020-11-12,54.63
Denmark,DNK,2020-11-13,54.63
Denmark,DNK,2020-11-14,54.63
Denmark,DNK,2020-11-15,54.63
Denmark,DNK,2020-11-16,50
Denmark,DNK,2020-11-17,50
Denmark,DNK,2020-11-18,50
Denmark,DNK,2020-11-19,43.52
Denmark,DNK,2020-11-20,43.52
Denmark,DNK,2020-11-21,43.52
Denmark,DNK,2020-11-22,43.52
Denmark,DNK,2020-11-23,45.37
Denmark,DNK,2020-11-24,45.37
Denmark,DNK,2020-11-25,45.37
Denmark,DNK,2020-11-26,45.37
Denmark,DNK,2020-11-27,45.37
Denmark,DNK,2020-11-28,45.37
Denmark,DNK,2020-11-29,45.37
Denmark,DNK,2020-11-30,45.37
Denmark,DNK,2020-12-01,45.37
Denmark,DNK,2020-12-02,45.37
Denmark,DNK,2020-12-03,45.37
Denmark,DNK,2020-12-04,45.37
Denmark,DNK,2020-12-05,45.37
Denmark,DNK,2020-12-06,45.37
Denmark,DNK,2020-12-07,45.37
Denmark,DNK,2020-12-08,45.37
Denmark,DNK,2020-12-09,51.85
Denmark,DNK,2020-12-10,51.85
Denmark,DNK,2020-12-11,51.85
Denmark,DNK,2020-12-12,51.85
Denmark,DNK,2020-12-13,51.85
Denmark,DNK,2020-12-14,51.85
Denmark,DNK,2020-12-15,51.85
Denmark,DNK,2020-12-16,51.85
Denmark,DNK,2020-12-17,51.85
Denmark,DNK,2020-12-18,51.85
Denmark,DNK,2020-12-19,51.85
Denmark,DNK,2020-12-20,51.85
Denmark,DNK,2020-12-21,51.85
Denmark,DNK,2020-12-22,51.85
Denmark,DNK,2020-12-23,51.85
Denmark,DNK,2020-12-24,51.85
Denmark,DNK,2020-12-25,51.85
Denmark,DNK,2020-12-26,51.85
Denmark,DNK,2020-12-27,51.85
Denmark,DNK,2020-12-28,51.85
Denmark,DNK,2020-12-29,51.85
Denmark,DNK,2020-12-30,51.85
Denmark,DNK,2020-12-31,51.85
Denmark,DNK,2021-01-01,51.85
Denmark,DNK,2021-01-02,51.85
Denmark,DNK,2021-01-03,51.85
Denmark,DNK,2021-01-04,67.59
Denmark,DNK,2021-01-05,67.59
Denmark,DNK,2021-01-06,67.59
Denmark,DNK,2021-01-07,67.59
Denmark,DNK,2021-01-08,67.59
Denmark,DNK,2021-01-09,70.37
Denmark,DNK,2021-01-10,70.37
Denmark,DNK,2021-01-11,70.37
Denmark,DNK,2021-01-12,70.37
Denmark,DNK,2021-01-13,70.37
Denmark,DNK,2021-01-14,70.37
Denmark,DNK,2021-01-15,70.37
Denmark,DNK,2021-01-16,70.37
Denmark,DNK,2021-01-17,70.37
Denmark,DNK,2021-01-18,70.37
Denmark,DNK,2021-01-19,70.37
Denmark,DNK,2021-01-20,70.37
Denmark,DNK,2021-01-21,70.37
Denmark,DNK,2021-01-22,70.37
Denmark,DNK,2021-01-23,70.37
Denmark,DNK,2021-01-24,70.37
Denmark,DNK,2021-01-25,70.37
Denmark,DNK,2021-01-26,70.37
Denmark,DNK,2021-01-27,70.37
Denmark,DNK,2021-01-28,70.37
Denmark,DNK,2021-01-29,70.37
Denmark,DNK,2021-01-30,70.37
Denmark,DNK,2021-01-31,70.37
Denmark,DNK,2021-02-01,70.37
Denmark,DNK,2021-02-02,70.37
Denmark,DNK,2021-02-03,70.37
Denmark,DNK,2021-02-04,70.37
Denmark,DNK,2021-02-05,70.37
Denmark,DNK,2021-02-06,70.37
Denmark,DNK,2021-02-07,70.37
Denmark,DNK,2021-02-08,66.67
Denmark,DNK,2021-02-09,66.67
Denmark,DNK,2021-02-10,66.67
Denmark,DNK,2021-02-11,66.67
Denmark,DNK,2021-02-12,66.67
Denmark,DNK,2021-02-13,66.67
Denmark,DNK,2021-02-14,66.67
Denmark,DNK,2021-02-15,66.67
Denmark,DNK,2021-02-16,66.67
Denmark,DNK,2021-02-17,66.67
Denmark,DNK,2021-02-18,66.67
Denmark,DNK,2021-02-19,66.67
Denmark,DNK,2021-02-20,62.96
Denmark,DNK,2021-02-21,62.96
Denmark,DNK,2021-02-22,62.96
Denmark,DNK,2021-02-23,62.96
Denmark,DNK,2021-02-24,62.96
Denmark,DNK,2021-02-25,62.96
Denmark,DNK,2021-02-26,62.96
Denmark,DNK,2021-02-27,62.96
Denmark,DNK,2021-02-28,62.96
Denmark,DNK,2021-03-01,60.19
Denmark,DNK,2021-03-02,60.19
Denmark,DNK,2021-03-03,60.19
Denmark,DNK,2021-03-04,60.19
Denmark,DNK,2021-03-05,60.19
Djibouti,DJI,2020-01-01,0
Djibouti,DJI,2020-01-02,0
Djibouti,DJI,2020-01-03,0
Djibouti,DJI,2020-01-04,0
Djibouti,DJI,2020-01-05,0
Djibouti,DJI,2020-01-06,0
Djibouti,DJI,2020-01-07,0
Djibouti,DJI,2020-01-08,0
Djibouti,DJI,2020-01-09,0
Djibouti,DJI,2020-01-10,0
Djibouti,DJI,2020-01-11,0
Djibouti,DJI,2020-01-12,0
Djibouti,DJI,2020-01-13,0
Djibouti,DJI,2020-01-14,0
Djibouti,DJI,2020-01-15,0
Djibouti,DJI,2020-01-16,0
Djibouti,DJI,2020-01-17,0
Djibouti,DJI,2020-01-18,0
Djibouti,DJI,2020-01-19,0
Djibouti,DJI,2020-01-20,0
Djibouti,DJI,2020-01-21,0
Djibouti,DJI,2020-01-22,0
Djibouti,DJI,2020-01-23,0
Djibouti,DJI,2020-01-24,0
Djibouti,DJI,2020-01-25,0
Djibouti,DJI,2020-01-26,0
